,Age,Income,MonthlyCharge,Tenure,Outage_sec_perweek,Email,Bandwidth_GB_Year,Yearly_equip_failure,PaperlessBilling,Churn,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Area_Suburban,Area_Urban,InternetService_Fiber Optic
60,26,55319.23,164.964681,2.871017037,8.386280619,12,1086.990308,0,1,0,0,0,1,0,0,1,0,0,1,0,0
61,25,81831.49,194.976769,2.344875382,9.565924291,10,704.7540406,0,0,0,1,0,0,0,0,0,0,1,0,1,1
62,42,100076.65,152.455519,7.960490246,10.79349982,14,1416.444695,0,1,1,0,0,0,0,0,0,1,0,0,0,0
65,63,45634.2,184.963371,7.916533093,9.470419821,14,1570.641337,0,0,0,1,0,0,1,0,1,0,0,0,1,0
66,70,10964.73,265.146969,4.471254161,6.194985909,11,1007.425553,1,1,1,0,0,0,0,1,0,0,0,1,0,1
67,78,22365.28,207.609354,10.79028074,10.80393657,19,1323.028419,0,0,1,1,0,0,0,0,0,0,1,0,1,1
68,48,52636.6,152.462354,12.24190682,7.903964267,17,1808.730555,1,0,0,1,0,0,0,0,0,1,0,0,1,0
69,63,19048.13,200.132293,2.203859443,11.27443693,18,1120.241472,1,1,1,0,0,0,0,0,0,1,0,1,0,0
71,87,77996.88,255.119794,3.7311787,7.969277912,17,1268.086909,0,1,1,1,0,1,0,0,0,0,0,0,0,0
72,54,47507.3,134.950905,7.980015371,4.368120492,9,822.6771666,0,1,0,0,0,0,1,1,0,0,0,1,0,1
73,35,7724.73,255.137219,9.190009376,6.258356398,9,1577.915603,1,1,1,1,0,0,0,0,0,0,0,0,1,1
74,70,1509.52,214.966286,2.378630018,12.92303286,16,648.7471776,0,0,1,1,0,0,0,0,1,0,0,0,1,1
75,67,81124.71,270.160419,5.43464555,12.43301273,13,1648.102673,0,1,1,0,0,1,0,1,0,0,0,0,0,0
77,50,74794.84,149.937833,20.13981517,7.442789019,10,2426.030626,1,0,0,1,0,0,1,0,1,0,0,0,1,0
78,24,19038.78,240.114868,24.64873861,13.04429298,18,2660.503932,0,1,1,0,0,0,0,0,1,0,0,0,0,1
79,20,79167.77,127.495766,9.677739656,14.89762162,17,1129.549713,0,1,0,1,0,0,0,0,0,0,0,0,0,1
80,29,37428.26,187.609354,9.82814183,13.79387475,13,1771.286466,1,0,1,0,0,1,0,1,0,0,0,0,1,0
81,31,45148.38,169.992756,7.832238337,15.66367593,6,943.3391244,0,0,0,1,0,0,0,0,0,0,0,0,0,1
82,72,74855.47,192.456745,19.45250317,8.513410306,13,1907.226083,0,0,0,0,0,0,1,0,0,1,0,0,1,1
83,71,45323.86,120.004928,14.34766616,8.265002035,10,1885.939118,0,1,0,1,0,0,0,0,0,0,0,0,1,0
84,32,71596.14,195.006206,2.257358355,8.6026551,11,631.7435653,0,0,0,0,0,1,0,0,0,0,0,1,0,1
85,33,10389.95,139.95684,2.358129018,6.03993035,15,562.6095219,0,1,0,1,0,1,0,0,1,0,0,0,0,1
88,21,15609.05,187.609354,3.76663012,8.913898759,12,1393.202392,0,1,1,0,0,0,0,0,0,1,0,0,0,0
89,61,19815.63,134.950905,4.151256695,11.59313893,13,393.6524652,2,1,0,0,0,1,0,0,1,0,0,0,1,1
90,75,58482.9,192.470522,2.188918771,8.294186076,13,409.7486664,0,1,1,0,0,0,0,0,0,1,0,0,0,1
91,63,41656.53,222.628057,13.85488928,15.19664016,9,2138.107161,0,1,1,0,0,0,0,0,0,0,1,0,1,0
92,68,115510.46,162.468917,3.273341151,5.083995994,3,443.984031,0,1,0,0,0,0,1,0,0,1,0,1,0,1
93,32,15841.19,159.979358,19.75096265,6.942719201,7,2481.385603,1,0,1,1,0,0,1,0,1,0,0,1,0,0
94,76,81127.41,184.979684,18.38404445,9.834012571,7,2233.567181,0,1,0,1,0,0,1,0,1,0,0,1,0,0
95,29,24270.88,245.145743,4.672610857,11.0596826,13,1158.91369,0,1,1,0,0,0,0,0,0,0,0,1,0,1
96,83,54466.33,124.97808,6.796299371,8.834079073,17,529.40733,1,0,0,0,0,0,0,1,0,0,0,0,0,1
97,23,64816.84,187.484705,12.97632235,5.271228601,14,1956.7337,1,0,1,1,0,0,0,0,0,0,0,1,0,1
98,80,103311.26,162.500692,20.31163945,9.394961367,15,2056.386979,0,1,0,1,0,0,0,0,1,0,0,0,0,1
99,20,40211.04,182.467607,6.998814446,14.4754365,11,1067.373076,1,1,0,1,0,1,0,0,1,0,0,1,0,1
101,32,43466.35,182.467607,11.13472066,13.79409442,10,1397.701335,0,1,0,1,0,1,0,0,1,0,0,0,1,1
103,25,49158.49,169.937833,17.22596021,10.24782033,9,1886.531937,0,1,0,1,0,0,1,0,0,1,0,0,0,1
104,69,3805.84,204.963371,22.79214163,14.86100819,16,2294.781131,2,1,1,1,0,0,0,0,0,0,0,1,0,1
105,71,52616.27,204.963371,3.823689744,6.716953195,10,826.3438621,1,0,1,1,0,0,0,0,0,0,1,0,1,1
106,53,30550.42,245.128318,10.77094687,8.124258176,18,2072.564168,0,0,1,0,0,0,0,0,0,0,1,0,1,0
108,42,30649.31,172.456745,14.76468813,12.65015936,9,1963.332683,2,0,1,1,0,0,0,1,0,0,0,1,0,0
109,33,31417.33,194.976769,9.473091121,12.0281501,14,1324.164906,0,1,1,1,0,0,0,1,0,0,0,1,0,1
110,47,55861.19,137.439154,5.197446331,15.68043093,16,704.9375603,0,1,0,1,0,0,0,0,0,0,0,0,1,1
111,48,9044.26,192.470522,6.577552683,11.30421466,18,888.6517305,1,1,1,0,0,0,1,0,0,0,1,0,1,1
112,63,25381.66,159.951231,3.174571918,10.26646787,10,377.0810282,0,0,1,0,0,0,0,0,1,0,0,0,0,1
113,40,65064.31,112.455141,17.88002366,7.56618217,9,1606.489936,0,1,0,1,0,0,0,0,0,0,1,0,1,1
114,67,12527.51,174.961766,13.12190056,10.40677369,14,1431.409396,0,1,1,1,0,0,0,0,0,0,0,0,1,1
115,56,35499.06,162.452604,23.34617699,7.146124361,13,2253.85247,0,0,0,0,0,0,0,0,0,0,0,0,1,1
116,24,26282.4,137.483594,6.311709178,9.807530479,10,1353.29384,0,1,0,0,0,1,0,1,0,0,0,0,1,0
117,79,51237.28,275.133571,12.58298231,10.61217014,12,1701.457566,0,1,0,0,0,0,1,0,0,0,0,0,1,1
118,61,64222.21,127.442069,7.120096363,5.785085772,16,1290.737183,1,0,1,1,0,0,0,1,0,0,0,0,0,0
120,28,21172.49,147.456419,22.37815032,16.54443477,13,2603.903672,0,1,0,0,0,0,1,0,0,0,0,0,0,0
125,34,74679.84,124.960655,7.231032028,11.64836306,11,1269.836202,1,0,0,1,0,0,1,0,0,0,1,1,0,0
127,62,34281.1,172.48852,10.05306287,11.75681641,9,1531.155367,0,0,0,1,0,0,1,0,1,0,0,0,1,0
128,52,36240.81,120.004928,4.171044392,9.173739977,14,991.2441024,1,0,0,1,0,0,1,0,0,1,0,0,1,0
130,47,125814.88,139.965008,6.085030507,10.74539526,10,1162.332926,1,1,1,0,0,0,0,0,0,0,0,0,0,0
131,66,12995.68,159.951231,2.730250735,11.36323648,12,577.1157824,1,1,0,0,0,0,0,0,0,0,0,0,0,1
132,70,77531.43,184.949594,8.574901206,2.310584634,14,1442.974877,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,41,87354.99,252.637807,9.743201772,5.290318715,10,1577.208717,0,1,1,1,0,0,0,0,0,0,0,1,0,1
134,59,76567.85,112.455141,9.482919033,5.258274954,8,886.9398744,0,1,0,1,0,0,0,0,0,1,0,1,0,1
135,46,30663.52,179.979358,8.447988841,7.157580014,12,1065.06443,0,1,0,1,0,0,1,1,0,0,0,0,0,1
136,70,122957.19,202.443347,6.365998533,2.120350511,17,951.886985,0,1,0,1,0,1,0,1,0,0,0,1,0,1
137,89,31600.92,197.472533,7.251397592,4.978546291,12,1404.435534,0,1,0,1,0,1,0,0,0,0,1,0,1,0
138,75,74638.78,255.155493,14.64011644,6.547676875,10,1925.911722,1,1,1,0,0,1,0,0,1,0,0,1,0,1
139,26,32652.3,174.976769,11.71637124,7.410590719,9,1805.011298,1,0,1,0,0,0,0,1,0,0,0,0,1,0
140,25,63650.54,169.992756,4.13273503,11.39765385,8,700.7343179,1,1,0,0,0,0,1,0,0,0,0,0,1,1
141,84,28622.6,192.440432,2.887429547,11.29945603,14,513.237305,0,1,1,0,0,0,0,0,0,0,1,0,0,1
142,69,50252.79,182.460772,3.303030246,11.30748265,15,717.3876564,2,0,0,1,0,0,0,0,1,0,0,1,0,1
143,31,19800.81,139.965008,5.15825129,10.31551212,11,1313.492851,1,0,0,1,0,1,0,0,0,0,0,0,1,0
145,75,36342.31,217.472533,2.733109234,15.40917963,15,882.1160656,0,0,1,1,0,0,0,0,0,0,0,0,0,1
147,49,23204.98,104.964303,15.85983755,10.18046877,10,1829.270014,0,1,0,1,0,0,1,0,0,0,0,1,0,0
148,47,35302.52,262.610632,11.73724209,14.01485542,16,1668.199119,1,0,1,1,0,0,0,0,0,1,0,0,0,1
150,26,60398.06,174.974431,5.562130367,10.90517581,10,1316.239744,0,0,1,0,0,1,0,0,1,0,0,1,0,0
151,72,8115.88,220.118516,14.53027663,8.894475174,8,1637.201426,1,1,0,0,0,1,0,0,1,0,0,0,1,1
152,41,33858.66,162.452604,5.905906389,10.50187888,13,951.8524406,0,0,0,1,0,0,0,0,0,0,0,0,1,1
153,26,29950.47,184.961033,3.260462654,12.34250072,12,1248.097652,1,1,1,0,0,0,0,1,0,0,0,1,0,0
154,55,49421.69,217.483972,18.91276578,10.29380879,12,2220.255405,0,1,0,1,0,1,0,0,0,1,0,0,1,1
155,46,11061.05,220.118516,14.25617986,8.512650562,11,1669.202417,1,0,0,0,0,0,1,1,0,0,0,0,1,1
157,39,20624.31,174.961766,5.969967132,6.985590245,9,967.9819136,1,1,0,1,0,0,1,0,0,0,0,0,0,1
158,81,47877.81,252.637807,19.95277818,11.40449185,12,2190.259876,0,1,1,1,0,0,1,1,0,0,0,0,0,1
160,50,107111.8,162.482694,2.600063739,15.38627887,12,528.6553088,0,0,1,0,0,0,0,0,0,0,1,0,1,1
161,87,10403.59,182.467607,11.92299244,10.68024546,13,1296.481055,1,1,1,0,0,0,0,1,0,0,0,0,1,1
162,76,22412.6,139.934918,5.972864167,10.62439366,13,1195.393037,0,1,0,0,0,0,1,1,0,0,0,0,0,0
165,46,28022.56,159.951231,12.63074989,8.996933306,11,1238.421347,1,0,0,0,0,0,1,0,0,0,0,1,0,1
166,73,35478.4,149.948316,8.4944392,7.602570192,7,847.110799,0,1,0,0,0,0,0,1,0,0,0,1,0,1
167,57,10155.51,149.959755,8.044444101,9.217689334,12,1112.937102,1,1,1,0,0,0,0,0,0,0,0,1,0,1
168,58,87537.25,137.469817,12.07358377,9.591529444,14,1623.045026,1,0,0,1,0,0,1,0,0,0,0,0,0,0
170,53,32653.51,164.985293,15.50354683,4.372034777,7,2144.735024,0,0,1,1,0,0,0,1,0,0,0,1,0,0
171,31,35321.46,159.965008,13.88004531,10.59285179,11,1522.289512,3,0,1,1,0,0,0,1,0,0,0,1,0,1
172,38,49277.48,172.462354,19.48900163,12.81260566,10,1974.780054,0,1,0,0,0,1,0,0,0,0,1,1,0,1
173,26,37297.82,204.949594,10.01771765,3.767298987,11,1261.177198,0,0,1,0,0,0,1,0,0,0,1,0,0,1
174,44,14928.96,147.473844,7.34059599,17.56798903,14,939.7181324,0,0,0,1,0,1,0,0,0,0,1,0,0,1
175,66,24702.68,162.471255,12.64742067,11.2369761,11,1357.062854,2,0,1,0,0,0,0,0,0,0,0,1,0,1
176,58,87535.71,119.95684,8.850426839,8.54892416,15,1456.887443,1,0,0,1,0,0,1,0,0,0,0,1,0,0
177,51,63166.87,207.609354,3.701557118,6.094109902,11,937.5863866,0,0,1,0,0,1,0,0,0,0,0,0,0,1
179,87,27326.79,174.975543,5.522376826,7.905333122,14,737.8564608,0,1,0,0,1,0,1,0,0,0,1,0,0,1
180,67,12779.23,240.114868,15.64596698,12.53830949,9,1781.854862,1,0,1,0,0,0,0,0,0,0,0,0,0,1
181,59,25519.91,240.114868,23.00764441,12.8219418,12,2464.577489,1,1,1,0,1,0,0,0,1,0,0,0,1,1
182,23,46871.21,139.983006,17.24924155,8.941553742,10,2392.203409,0,1,0,1,0,1,0,0,0,0,0,0,1,0
183,42,77383.72,240.114868,13.01107597,10.51043963,12,1664.19271,0,1,1,1,0,0,0,0,0,0,1,1,0,1
184,24,47395.3,209.993134,5.104082209,11.86384439,11,1433.616898,0,1,1,0,0,0,1,0,0,0,0,1,0,0
185,81,90977.74,147.456419,3.521499924,10.76051016,10,823.4933243,0,0,0,0,0,0,1,0,0,0,1,0,1,0
186,78,135727.71,107.495766,8.08137067,11.05420024,14,1468.357421,0,1,0,1,0,0,0,0,0,1,0,1,0,0
189,87,41531.03,142.482694,7.007695148,7.045552801,13,1181.991846,0,1,0,0,0,0,1,1,0,0,0,0,1,0
190,46,33504.8,117.439154,1.408375942,8.957297136,14,733.4036934,0,1,0,0,0,1,0,0,0,0,0,0,1,0
191,56,34197.3,220.132293,11.64983735,15.74015572,14,1719.173387,1,1,1,0,0,0,0,0,0,0,1,0,1,1
192,44,11518.58,152.455519,2.964559883,13.41209586,11,1205.956363,0,1,1,1,0,0,1,1,0,0,0,1,0,0
193,33,31065.17,174.961766,10.25635754,14.89835355,9,1261.032763,1,0,0,0,0,0,0,0,1,0,0,0,1,1
194,19,32097.17,202.443347,3.892407013,13.62135046,14,741.7766988,1,1,1,0,0,0,0,0,0,0,1,1,0,1
195,31,23424.88,210.12704,3.226996711,14.95912113,12,932.6084359,1,0,1,1,0,0,1,0,1,0,0,1,0,1
197,43,35539.7,139.965008,5.874064017,7.765121655,11,1363.58603,1,0,0,1,0,0,1,0,1,0,0,0,1,0
198,82,27959.34,137.439154,3.756359276,7.130431693,5,472.1057019,0,1,0,1,0,0,0,0,0,1,0,1,0,1
200,48,18198.59,252.637807,1.474810061,9.42799205,17,815.194738,0,1,1,1,0,0,0,0,1,0,0,1,0,1
202,35,16440.05,242.610632,12.39088509,10.8621377,16,2088.48083,0,0,1,0,1,0,0,0,1,0,0,1,0,0
205,25,30664.56,240.114868,17.72593456,9.580144161,13,2059.200998,0,0,1,0,0,1,0,0,0,1,0,1,0,1
206,88,31934.04,174.975543,3.043063167,10.79191234,18,617.542543,0,1,0,1,0,0,0,0,0,0,0,1,0,1
207,54,26676.4,169.944668,5.827112819,9.982341124,8,758.4775985,0,0,0,0,0,1,0,0,0,0,1,1,0,1
209,75,31136.77,119.95684,11.96274778,10.70500472,14,1639.898269,0,1,0,0,0,0,0,0,0,0,1,1,0,0
210,66,40660.84,137.439154,4.525864256,11.58410296,11,710.7541633,1,0,0,1,0,0,0,0,0,0,1,0,1,1
211,51,10606.59,207.46728,8.038308899,8.01651453,12,1092.226042,1,0,0,0,0,0,1,0,0,0,0,1,0,1
212,81,92447.71,149.974105,1.416592892,15.12148226,12,757.0097075,0,1,0,0,0,1,0,0,0,0,0,0,0,0
214,54,13765.39,232.637807,15.85002222,16.68178185,8,2401.406545,0,1,1,0,0,0,0,0,0,0,1,0,1,0
216,53,42523.02,137.469817,11.94550648,12.99948061,12,1536.589816,1,1,0,1,0,0,0,0,0,1,0,0,1,0
217,33,52143.7,220.132293,16.03360405,11.17949466,14,2153.778421,1,0,0,0,0,0,0,0,1,0,0,1,0,1
218,41,19097.94,124.960655,21.29342532,7.369412654,13,2409.195918,1,0,0,0,0,0,1,0,0,0,1,0,1,0
219,59,11301.4,199.990219,4.95598008,9.84688181,11,1342.862457,0,0,0,0,0,1,0,0,0,0,0,0,1,0
220,23,17814.0,159.947583,2.73951266,18.19542503,14,1046.054674,0,0,1,0,0,0,0,0,0,1,0,1,0,0
221,32,22533.05,245.145743,4.973046104,13.53989069,13,1204.479468,1,0,1,0,0,1,0,0,0,0,1,0,0,1
222,51,19974.4,255.155493,10.28430068,5.458806701,10,1616.908193,0,0,1,0,0,0,0,0,1,0,0,0,0,1
223,46,45146.99,134.950905,2.581692044,12.0772854,11,345.0099528,1,0,0,0,0,0,1,0,1,0,0,0,0,1
224,37,10330.1,159.947583,6.945736396,6.918984305,9,1427.088655,0,0,1,1,0,0,0,1,0,0,0,0,0,0
225,53,15281.28,139.987503,9.999416271,14.84155042,8,1452.334634,0,1,0,1,0,0,0,0,1,0,0,1,0,0
226,62,11217.96,179.947583,6.035737465,12.66717474,15,795.4957358,0,0,1,1,0,0,0,0,0,0,0,0,1,1
227,57,17516.0,127.473844,9.004964377,11.43786808,13,1333.894229,1,1,0,0,0,0,0,0,0,1,0,1,0,0
228,80,20566.64,232.637807,5.071456681,6.915228797,10,1402.20491,0,0,1,0,0,1,0,1,0,0,0,1,0,0
229,43,36128.68,195.006206,12.02106494,11.30215199,12,1447.196935,1,1,1,1,0,0,0,1,0,0,0,0,1,1
230,35,52129.84,267.642733,5.049303717,9.513085538,10,1662.510936,0,1,1,1,0,0,0,0,0,0,0,1,0,0
231,63,25985.06,149.959755,18.17247008,9.497106973,11,1707.641161,0,0,0,0,0,0,1,0,1,0,0,1,0,1
232,63,10909.79,220.114868,15.31997698,12.21852573,15,2181.752793,0,1,1,0,0,0,1,0,0,0,1,0,1,0
233,27,41151.14,157.483594,16.0708543,8.272244827,11,1575.683555,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,42,41412.1,255.133571,25.8634566,12.4703522,8,3309.919373,0,1,1,1,0,0,0,0,0,0,1,1,0,0
237,40,99195.08,194.966286,9.405224809,7.913676085,16,1623.273925,0,1,1,0,0,1,0,1,0,0,0,0,0,0
238,72,18408.94,179.965581,12.84490034,9.362849722,12,1146.199921,0,1,0,0,0,0,0,1,0,0,0,1,0,1
239,61,15930.45,174.976769,16.59325254,17.41324465,10,2229.268031,1,1,1,1,0,0,0,0,0,1,0,0,1,0
240,71,25611.29,187.609354,20.35456039,13.43700846,11,2512.36494,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,68,9428.86,169.937833,12.00925702,11.95206054,7,1297.388488,1,1,0,0,0,0,0,0,0,0,0,1,0,1
243,64,118022.06,152.462354,14.20349453,6.09060584,11,1947.7853,0,0,1,1,0,0,0,0,0,0,1,0,0,0
244,63,51992.79,207.609354,4.98152586,10.2863601,10,849.1972541,1,1,1,0,0,0,0,1,0,0,0,0,1,1
246,41,37706.85,200.118516,6.307178205,14.12145884,14,1464.035068,0,1,0,1,0,0,1,0,0,0,1,0,0,0
249,27,25146.14,147.442069,2.243757398,9.329902365,6,558.3751762,0,0,0,1,0,1,0,0,0,0,0,0,0,1
250,47,58882.35,197.494455,1.583394702,7.509389052,18,676.2178659,0,0,0,1,0,1,0,0,0,0,0,1,0,1
253,58,70476.82,159.965581,4.135827839,3.564651961,9,1066.632555,0,0,1,1,0,0,0,1,0,0,0,0,1,0
255,87,35060.94,202.649979,1.213704886,10.74985413,8,1189.549671,1,0,1,0,0,0,1,0,1,0,0,1,0,0
256,34,66055.53,134.950905,11.86252419,7.738373361,11,1114.020282,0,1,0,0,0,0,0,0,0,0,0,0,0,1
257,76,91335.76,142.500692,2.416685985,12.01267388,11,1078.291303,0,1,0,1,0,1,0,0,0,0,1,0,1,0
259,47,75042.1,232.62403,6.549035393,3.11231175,12,1489.077486,1,1,1,0,0,0,1,0,0,1,0,0,0,0
260,84,91001.1,242.628057,10.57197066,8.284591121,8,1649.312808,0,1,1,1,0,0,0,0,0,0,1,0,0,1
261,19,44426.28,202.443347,3.379756569,6.269792565,20,905.1959227,0,1,1,1,0,0,0,0,0,0,1,0,1,1
263,75,14039.21,174.976769,10.23679934,8.571019738,5,1662.533055,0,0,0,1,0,0,1,0,0,0,1,1,0,0
264,37,12453.24,225.145743,14.96503088,10.00344746,14,2436.57146,1,1,1,1,0,0,0,0,0,0,0,0,0,0
265,52,15934.12,275.133571,23.79323993,4.255224068,12,2677.74041,1,0,1,0,0,1,0,0,1,0,0,0,0,1
266,24,48314.4,287.642733,11.45675389,11.2714618,14,1779.309609,0,0,1,1,0,0,0,0,0,1,0,0,1,1
268,19,10701.11,220.114868,7.425503428,9.753145376,19,1740.72604,1,0,1,0,0,0,0,0,1,0,0,0,1,0
270,61,13493.63,194.974431,2.009542213,13.13441554,15,558.4710883,1,0,0,0,0,1,0,0,0,1,0,1,0,1
272,79,368.5,147.478341,1.926789854,6.114030983,11,287.8189836,1,0,1,1,0,0,0,0,1,0,0,1,0,1
274,41,56154.5,157.483594,2.585228303,6.348897952,10,394.0148722,0,0,0,0,0,1,0,1,0,0,0,0,1,1
275,75,62145.59,255.141716,9.517703088,16.10939031,9,1302.230824,1,1,0,0,0,1,0,0,0,0,1,0,1,1
276,60,6517.94,137.439154,9.532523799,7.151598137,13,970.4682919,0,1,0,0,0,0,1,1,0,0,0,0,0,1
277,70,19090.03,235.159141,23.103996,4.575363954,13,2522.88913,0,1,0,1,0,0,0,0,1,0,0,1,0,1
278,23,13194.33,147.460067,5.104873611,13.42263904,9,682.9871863,0,1,1,1,0,0,0,0,0,0,0,1,0,1
279,84,63963.36,232.637807,6.877942744,3.559550725,8,1537.109931,0,0,1,0,0,0,0,1,0,0,0,1,0,0
280,63,34447.89,137.439154,21.17839683,5.971214226,13,1961.923965,0,1,1,1,0,1,0,1,0,0,0,1,0,1
281,88,36315.29,129.948316,1.586331702,7.287197615,16,676.1747964,0,1,0,0,0,0,0,0,0,1,0,1,0,0
282,44,5009.07,242.632554,3.778174405,11.30031859,18,929.2607767,0,1,1,0,0,0,0,0,0,0,0,1,0,1
